,AVERAGE_FELT_TEMPERATURE,AVERAGE_ROAD_TEMPERATURE,MINIMUM_FELT_TEMPERATURE,DATE,MINIMUM_PRECIPITATION,MAXIMUM_HUMIDITY,MAXIMUM_FELT_TEMPERATURE,MAXIMUM_PRECIPITATION,MAXIMUM_TEMPERATURE,AVERAGE_HUMIDITY,AVERAGE_WIND,AVERAGE_DIRECTIONOFWIND,MINIMUM_TEMPERATURE,AVERAGE_TEMPERATURE,MAXIMUM_ROAD_TEMPERATURE,MINIMUM_HUMIDITY,MINIMUM_DIRECTIONOFWIND,MINIMUM_WIND,MAXIMUM_DIRECTIONOFWIND,MINIMUM_ROAD_TEMPERATURE,MAXIMUM_WIND,AVERAGE_PRECIPITATION
121,18.66,26.89,9.04,2020-05-01,0.0,100.0,27.37,133.3,26.14,71.96,1.89,197.71,8.74,17.74,51.8,38.48,0.0,0.0,356.0,14.6,8.41,1.14
122,19.54,28.36,10.54,2020-05-02,0.0,100.0,27.32,133.3,27.7,67.45,1.85,193.24,10.04,18.54,54.0,30.71,0.0,0.0,355.0,14.8,11.17,1.24
123,16.89,22.48,10.07,2020-05-03,0.0,100.0,24.17,105.0,22.39,82.46,1.52,178.02,10.79,16.03,49.3,49.09,0.0,0.0,359.0,14.2,8.27,1.13
124,22.81,31.15,12.42,2020-05-20,0.0,100.0,52.09,133.3,35.56,73.4,1.92,158.61,13.38,21.63,54.1,28.99,0.0,0.0,360.0,16.4,8.7,1.7
125,16.08,21.64,5.38,2020-05-21,0.0,100.0,27.04,108.6,27.15,91.87,4.09,164.47,9.15,16.09,40.5,41.02,0.0,0.0,359.0,12.9,18.69,0.9
126,12.94,18.90,4.51,2020-05-22,0.0,100.0,22.32,165.5,20.51,80.34,2.61,135.53,5.19,12.91,38.6,33.82,0.0,0.0,360.0,10.6,15.33,1.28
127,12.07,18.68,3.48,2020-05-23,0.0,100.0,20.15,165.8,19.16,82.8,1.85,163.08,4.92,11.77,38.6,44.93,0.0,0.0,360.0,8.9,11.89,2.43
128,15.47,26.77,3.54,2020-05-24,0.0,100.0,26.74,162.9,25.45,65.46,1.43,170.27,4.35,14.72,51.3,20.67,0.0,0.0,355.0,7.8,8.05,2.36
129,15.13,20.82,6.06,2020-05-25,0.0,100.0,21.76,165.3,20.41,81.84,1.96,161.06,7.37,14.59,41.2,43.12,0.0,0.0,359.0,11.7,8.85,3.17
130,15.48,25.37,6.66,2020-05-26,0.0,100.0,24.05,164.5,22.17,77.94,2.6,97.71,7.34,15.08,49.0,34.28,0.0,0.0,359.0,11.6,9.63,3.35
131,14.04,16.71,6.87,2020-05-27,0.0,100.0,19.11,60.0,17.54,87.59,2.7,110.98,7.65,13.86,31.3,60.71,0.0,0.0,359.0,11.6,12.94,1.16
